name,field,subcategory,mbti
Alyssa Sutherland,Entertainment,Aktor/Aktres,INFJ
Alyvia Alyn Lind,Entertainment,Aktor/Aktres,ENFP
Amadeus,Entertainment,Pembawa Acara,ESFJ
Amanda Abbington,Entertainment,Aktor/Aktres,ENFP
Amanda Céline Miller,Entertainment,Pengisi Suara,ESFP
Amanda Lamb,Entertainment,Pembawa Acara,ISFJ
Amanda Lepore,Entertainment,Model,ESFP
Amanda Peet,Entertainment,Aktor/Aktres,ENFJ
Amanda Ramalho,Entertainment,Film & TV Crew,ENFP
Amanda Rawles,Entertainment,Aktor/Aktres,INFJ
Amanda Seales,Entertainment,Komedian,ENTJ
Amanda Seyfried,Entertainment,Aktor/Aktres,INTP
Amanda Tapping,Entertainment,Aktor/Aktres,ENFP
Amandla Stenberg,Entertainment,Aktor/Aktres,INFP
Amane Shindo,Entertainment,Pengisi Suara,INFJ
Amber Heard,Entertainment,Aktor/Aktres,ESTP
Amber Riley,Entertainment,Aktor/Aktres,ESFJ
Amber Valletta,Entertainment,Model,ESFP
Ambra Angiolini,Entertainment,Aktor/Aktres,ENFP
Ambyr Childers,Entertainment,Aktor/Aktres,ISFP
Amelia Eve,Entertainment,Aktor/Aktres,ESFP
Amelia Rose Blaire,Entertainment,Aktor/Aktres,ENFP
Amelia Zadro,Entertainment,Model,ENFP
America Ferrera,Entertainment,Aktor/Aktres,ENFJ
Ami Koshimizu,Entertainment,Pengisi Suara,INFP
Amin Hayaei,Entertainment,Aktor/Aktres,ESFP
Amina Khalil,Entertainment,Aktor/Aktres,ENFP
Amir Hossein Arman,Entertainment,Aktor/Aktres,ESFJ
Amir jadidi,Entertainment,Aktor/Aktres,INTJ
Amir Kazemi,Entertainment,Aktor/Aktres,ENFP
Amirali Nabavian,Entertainment,Aktor/Aktres,INFJ
Amirmehdi jouleh,Entertainment,Aktor/Aktres,INTP
Amita Suman,Entertainment,Aktor/Aktres,ENFJ
Amitabh Bachchan,Entertainment,Aktor/Aktres,ISTJ
Amparo Grisales,Entertainment,Aktor/Aktres,ENTJ
Amr Waked,Entertainment,Aktor/Aktres,ISTP
Amra Silajdžić-Džeko,Entertainment,Model,ESFJ
Amrish Puri,Entertainment,Aktor/Aktres,ISTJ
Amrita Singh,Entertainment,Aktor/Aktres,ESTJ
Amy Adams,Entertainment,Aktor/Aktres,INFJ
Amy Jo Johnson,Entertainment,Aktor/Aktres,ESFP
Amy Poehler,Entertainment,Aktor/Aktres,ENTP
Amy Schumer,Entertainment,Komedian,ESFP
Amy Sedaris,Entertainment,Aktor/Aktres,ENFP
Amy Sherman-Palladino,Entertainment,Film & TV Crew,ENTP
Amy Smart,Entertainment,Aktor/Aktres,ENTJ
Amybeth McNulty,Entertainment,Aktor/Aktres,ENFP
Ana Brenda Contreras,Entertainment,Aktor/Aktres,ENFJ
Ana Clara Lima (BBB18),Entertainment,Pembawa Acara,ESFP
Ana de Armas,Entertainment,Aktor/Aktres,ISFP
Ana Gasteyer,Entertainment,Aktor/Aktres,ENTP
Ana Guiomar,Entertainment,Aktor/Aktres,ESFP
Ana Hickmann,Entertainment,Pembawa Acara,ESFJ
Ana Hikari,Entertainment,Aktor/Aktres,ENFJ
Ana Lily Amirpour,Entertainment,Sutradara Film,ENTP
Ana Maria Braga,Entertainment,Pembawa Acara,ESFJ
Ana María Orozco,Entertainment,Aktor/Aktres,INFP
Ana María Polo,Entertainment,Pembawa Acara,ESTJ
Ana Milán,Entertainment,Aktor/Aktres,ENFJ
Ana Paula Arósio,Entertainment,Aktor/Aktres,ISFP
Anand Gandhi,Entertainment,Sutradara Film,INFP
Ananda Morais,Entertainment,Model,ENFJ
Ananta Rispo,Entertainment,Komedian,ENFP
Ananya Pandey,Entertainment,Aktor/Aktres,ESFP
Anastasiya Kvitko,Entertainment,Model,ISFJ
Anatoly Solonitsyn,Entertainment,Aktor/Aktres,INFJ
Anders Matthesen,Entertainment,Komedian,ESTP
Anderson Di Rizzi,Entertainment,Aktor/Aktres,INTP
Andi Oliver,Entertainment,Pembawa Acara,ESFJ
Andie MacDowell,Entertainment,Aktor/Aktres,ESFJ
Andre Braugher,Entertainment,Aktor/Aktres,INFJ
André De Shields,Entertainment,Aktor/Aktres,ENFJ
André Holland,Entertainment,Aktor/Aktres,INFJ
André Lamoglia,Entertainment,Aktor/Aktres,ESFP
André Marques,Entertainment,Pembawa Acara,ESTJ
André Sogliuzzo,Entertainment,Pengisi Suara,ESFJ
Andre Taulany,Entertainment,Komedian,ESTP
André van Duin,Entertainment,Komedian,ESFJ
Andre’ De Shields,Entertainment,Aktor/Aktres,ENFJ
Andrea Arnold,Entertainment,Sutradara Film,ENFJ
Andréa Beltrão,Entertainment,Aktor/Aktres,INFJ
Andrea Brillantes,Entertainment,Aktor/Aktres,ESFP
Andrea Brilliantes,Entertainment,Aktor/Aktres,ESFP
Andrea Legarreta,Entertainment,Pembawa Acara,ESFJ
Andrea Libman,Entertainment,Pengisi Suara,ESFP
Andrea Riseborough,Entertainment,Aktor/Aktres,INFJ
Andrea Savage,Entertainment,Komedian,ENTP
Andrea Zelletta,Entertainment,Model,ISFJ
Andrei Mironov,Entertainment,Aktor/Aktres,ENTP
Andrei Tarkovsky,Entertainment,Sutradara Film,INFJ
Andreia Horta,Entertainment,Aktor/Aktres,ISFP
Andrés Lopez,Entertainment,Komedian,ESFP
Andrés Velencoso,Entertainment,Aktor/Aktres,ESTP
Andressa Urach,Entertainment,Model,ESTP
Andrew Barth Feldman,Entertainment,Aktor/Aktres,ENFP
Andrew Choe,Entertainment,Film & TV Crew,ISTP
